strategy,run,iteration,diversity
ring,8,39,11.865055928411634
ring,8,40,11.820313199105145
ring,8,41,11.862908277404921
ring,8,42,11.823534675615212
ring,8,43,11.884295302013422
ring,8,44,11.858612975391498
ring,8,45,11.819865771812081
ring,8,46,11.855302013422818
ring,8,47,11.879910514541388
ring,8,48,11.873199105145414
ring,8,49,11.832751677852348
ring,8,50,11.805637583892617
ring,8,51,11.843668903803133
ring,8,52,11.835704697986577
ring,8,53,11.840984340044743
ring,8,54,11.819418344519015
ring,8,55,11.851006711409395
ring,8,56,11.83821029082774
ring,8,57,11.801610738255034
ring,8,58,11.762505592841164
ring,8,59,11.836599552572707
ring,8,60,11.833109619686802
ring,8,61,11.832841163310961
ring,8,62,11.828724832214766
ring,8,63,11.790335570469798
ring,8,64,11.887158836689037
ring,8,65,11.836331096196869
ring,8,66,11.827024608501118
ring,8,67,11.858255033557047
ring,8,68,11.823624161073825
ring,8,69,11.863892617449665
ring,8,70,11.842058165548098
ring,8,71,11.855212527964206
ring,8,72,11.867829977628636
ring,8,73,11.87668903803132
ring,8,74,11.912125279642058
ring,8,75,11.861297539149888
ring,8,76,11.847069351230425
ring,8,77,11.832662192393736
ring,8,78,11.879642058165548
ring,8,79,11.835704697986577
ring,8,80,11.866577181208054
ring,8,81,11.824161073825504
ring,8,82,11.729843400447427
ring,8,83,11.870604026845637
ring,8,84,11.834272930648769
ring,8,85,11.794988814317673
ring,8,86,11.842953020134228
ring,8,87,11.828456375838925
ring,8,88,11.824876957494407
ring,8,89,11.841700223713646
ring,8,90,11.835973154362415
ring,8,91,11.876510067114094
ring,8,92,11.891364653243848
ring,8,93,11.868814317673378
ring,8,94,11.87427293064877
ring,8,95,11.879642058165548
ring,8,96,11.899328859060402
ring,8,97,11.866577181208054
ring,8,98,11.875615212527965
ring,8,99,11.835346756152125
ring,8,100,11.879910514541388
ring,9,1,11.950514541387024
ring,9,2,11.937897091722595
ring,9,3,11.91463087248322
ring,9,4,11.933601789709172
ring,9,5,11.907024608501118
ring,9,6,11.888590604026845
ring,9,7,11.89324384787472
ring,9,8,11.820850111856823
ring,9,9,11.843042505592841
ring,9,10,11.847427293064877
ring,9,11,11.883042505592842
ring,9,12,11.891543624161073
ring,9,13,11.910872483221477
ring,9,14,11.917673378076062
ring,9,15,11.910604026845638
ring,9,16,11.900223713646533
ring,9,17,11.875615212527965
ring,9,18,11.840089485458613
ring,9,19,11.870872483221477
ring,9,20,11.84599552572707
ring,9,21,11.882505592841163
ring,9,22,11.838568232662192
ring,9,23,11.905413870246084
ring,9,24,11.88393736017897
ring,9,25,11.889127516778524
ring,9,26,11.874093959731544
ring,9,27,11.84089485458613
ring,9,28,11.822371364653243
ring,9,29,11.845458612975392
